,NEWS,RANDOM
0,"
한샘[한샘 제공. 재판매 및 DB 금지]    (서울=연합뉴스) 코스피 상장사 한샘은 연결 기준 지난해 영업이익이 930억 원으로 전년보다 66.7% 증가한 것으로 잠정 집계됐다고 5일 공시했다.    매출은 2조674억 원으로 전년 대비 21.7% 증가했다. 순이익은 675억 원으로 58.1% 늘었다.    지난해 4분기 영업이익은 295억 원으로 전년 동기보다 36% 늘었다. 또 매출과 순이익은 각각 5천520억 원과 211억 원이었다.▶네이버에서도 뉴스는 연합뉴스[구독 클릭]▶[팩트체크]'성노예' 부정 하버드 교수 위안부 논문 따져보니▶제보하기<저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.?""옛 연인 나체 협박""…아역배우 출신 국대 승마선수?엄마 아빠 사이에 자는 아이 '슬쩍'…간 큰 유괴범?고민상담하며 또래인척 접근…약점 잡아 '집요한 성 착취'?임영웅 뛰어넘는 스타는 아직이지만…'미스트롯2' 30％ 찍었다?흉부 엑스레이 찍은 방사선사 '사귀자' 문자 보내 '논란'
",0
1,"
							  [특징주]현대백화점이 '더 현대 서울' 개점으로 올해 실적이 개선될 것이라는 기대감에 장중 상승세를 보이고 있다.5일 오후 1시40분 기준 현대백화점은 전 거래일 대비 3000원(3.83%) 오른 8만1300원에 거래되고 있다.이날 거래량은 23만8263주로 5거래일 중 최고치를 경신했다. 주요 구매자는 기관으로 나타났다. 현대백화점은 지난 4일 지난해 4분기 매출액이 전년 동기 대비 5% 늘어난 6446억원, 영업이익은 35.3% 하락한 681억원을 기록했다고 발표했다. 이는 증권업계 컨센서스를 각각 16%, 10% 하회한 기록이다.하지만 현대백화점이 올해 초 여의도 신규 점포인 '더 현대 서울'을 개점하는 것에 대한 기대감이 더 크게 작용한 것으로 보인다.더 현대 서울은 판교점 이후 6년만의 대규모 백화점 출점이다. 현대백화점은 내년 초 경기도 동탄에 아울렛을 출점시킬 계획도 갖고 있다.서정연 신영증권 연구원은 ""1~2월 백화점이 명절 관련 상품 수요가 견조하고 오프라인 고객 수도 점차 회복하는 모양새""라며 ""설 연휴 이후 사회적 거리두기 정책이 완화되면 본격적인 매출 회복세를 보일 것""이라고 전망했다",1
2,"
 [파이낸셜뉴스] 금융감독원은 설을 앞두고 '전통시장 나눔 활동'을 실시했다고 5일 밝혔다. 국제구호단체인 기아대책과 KB국민은행도 함께 했다. 올해는 코로나19에 따라 '전통시장 모바일 장보기 앱'을 통한 비대면 방식으로 진행했다.   전통시장 상품권을 통해 구입한 떡, 육류, 건어물 등 생필품 등은 저소득 소외계층에 전달했다.   윤석헌 금감원장은 ""코로나19와 겨울 한파 등으로 인해 전통시장이 어느 때보다 어려움이 클 것으로 생각된다""며 ""나눔 활동이 시장 상인과 어려운 이웃들에게 잘 전달돼 따뜻한 명절을 보내는데 보탬이 되길 바란다""고 말했다",2
3,"
기업로고, sk네트웍스편집 미디어랩 김민준    (서울=연합뉴스) 코스피 상장사 SK네트웍스는 연결 기준 작년 한 해 영업이익이 1천237억원으로 전년보다 13.1% 증가한 것으로 잠정 집계됐다고 5일 공시했다.    매출은 10조6천314억원으로 전년 대비 18.6% 감소했다. 순이익은 421억원으로 흑자로 돌아섰다.    4분기 영업이익은 84억원으로 전년동기(영업손실 518억원)와 비교해 흑자전환했다. 이 분기 매출과 순손실은 각각 2조7천624억원과 690억원이었다.▶네이버에서도 뉴스는 연합뉴스[구독 클릭]▶[팩트체크]'성노예' 부정 하버드 교수 위안부 논문 따져보니▶제보하기<저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.?""옛 연인 나체 협박""…아역배우 출신 국대 승마선수?엄마 아빠 사이에 자는 아이 '슬쩍'…간 큰 유괴범?고민상담하며 또래인척 접근…약점 잡아 '집요한 성 착취'?임영웅 뛰어넘는 스타는 아직이지만…'미스트롯2' 30％ 찍었다?흉부 엑스레이 찍은 방사선사 '사귀자' 문자 보내 '논란'
",3
4,"
							 [이데일리 증권시장부]증권시장부 (edaily.co.kr)▶ #24시간 빠른 #미리보는 뉴스 #eNews+▶ 네이버에서 '이데일리 뉴스'를 만나보세요▶ 빡침해소, 청춘뉘우스 '스냅타임'＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""검찰청인데요"" '그 목소리'에 국민 주머니 3조 털렸다""동생이 폭행당한 뒤 모텔에 유기돼 숨졌다""아역배우 출신 승마국대, 몰카로 전여친 협박 ""장난한 것""BJ 메텔(허인나), 사망 전 남긴 말배우 김보경, 2일 사망.. 영화 '친구' 레인보우 보컬
",4
5,"
롯데칠성음료[롯데칠성음료 유튜브 캡처. 재판매 및 DB 금지]    (서울=연합뉴스) 코스피 상장사 롯데칠성음료는 연결 기준 지난해 영업이익이 972억 원으로 전년보다 9.7% 감소한 것으로 잠정 집계됐다고 5일 공시했다.    매출은 2조2천580억 원으로 전년 대비 7.1% 감소했다. 순손실은 123억 원으로 적자 폭이 축소됐다.    지난해 4분기 영업이익은 33억 원으로 전년 동기(영업손실 69억 원)와 비교해 흑자 전환했다. 또 분기 매출과 순손실은 각각 5천74억 원과 576억 원이었다.▶네이버에서도 뉴스는 연합뉴스[구독 클릭]▶[팩트체크]'성노예' 부정 하버드 교수 위안부 논문 따져보니▶제보하기<저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.?""옛 연인 나체 협박""…아역배우 출신 국대 승마선수?엄마 아빠 사이에 자는 아이 '슬쩍'…간 큰 유괴범?'나는 죄인입니다' 황교안 ""윤석열 응원해달라""?고민상담하며 또래인척 접근…약점 잡아 '집요한 성 착취'?임영웅 뛰어넘는 스타는 아직이지만…'미스트롯2' 30％ 찍었다
",5
6,"
							  (서울=뉴스1) = 은성수 금융위원장이 3일 서울 종로구 정부서울청사 합동브리핑실에서 공매도 부분적 재개 관련 내용을 발표하고 있다.  금융위원회는 오는 3월15일 종료 예정인 공매도 금지 조치를 5월2일까지 연장하고 5월3일부터 코스피200·코스닥150 주가지수 구성종목에 대해 공매도를 부분 재개하기로 했다.  (금융위원회 제공) 2021.2.3/뉴스1 한국 정부의 공매도 금지 연장이 유동성 급감 등 부작용을 초래할 수 있다는 우려가 제기된다고 블룸버그통신이 5일 보도했다. 블룸버그통신은 이날 '세계 최장 공매도 금지국이 시장 하락이란 위험을 시장 하락이란 위험을 감수하고 있다'는 제목의 기사에서 한국의 공매도 금지 연장이 역효과를 초래할 수 있다고 전했다. 한국의 공매도 금지 연장이 세계에서 가장 길다는 점을 부각하면서다. 인도네시아는 이번달 연장을 종료할 예정이며, 지난해 초 공매도 금지를 단행한 프랑스는 제한을 몇 달만 유지했다. 통신은 한국의 공매도 금지가 한국 증시 랠리를 인위적으로 지지해 왔다는 데 대한 펀드매니저와 트레이더들의 우려가 늘어나고 있다고 지적했다. 그러면서 공매도 금지를 연장하기로 한 결정이 역효과를 낼 수 있다는 예상이 제기된다고 전했다. 호주 시드니 소재 AMP 캐피탈의 나데르 네이미 다이내믹 마킷 대표는 블룸버그에 ""한국 증시 강세장 속 공매도 금지 연장은 놀랍다""며 ""미국에서 일어난 것 같은 숏스퀴즈를 피하기 위한 목적이지만 시장 유동성의 급감이라는 의도치 않은 결과가 일어날 수 있다""고 예상했다.미국 인지브릿지캐피탈의 빈스 로루소 펀드매니저도 ""공매도 금지가 시장 유동성을 개선하고 변동성을 줄인다는 증거는 많지 않다""며 ""공매도 금지는 적정 주가를 찾기 위한 중요한 시장 도구들을 빼앗는 것""이라고 했다. 정치적인 고려에 의해 내려진 결정일 수 있다는 점도 지적했다. 전경대 맥쿼리투신운용 주식운용본부장(CIO)은 ""한국 정치인들에 의한 포퓰리즘이 금지 연장을 이끈 것 같다""며 ""(감독당국이) 여론에 흔들리고 있다는 점이 유감스럽다""고 밝혔다. 지난 3일 금융위원회는 3월15일 종료가 예정된 공매도 금지조치를 5월2일까지 연장한다고 밝혔다. 5월3일부터 코스피200·코스닥150 대표지수 종목에 한해 부분적으로 공매도를 재개하는 방식이다",6
7,"
 게임빌(대표 송병준)은 모바일게임 스타트업 어비스(대표 강동식)가 개발한 횡스크롤 RPG ‘로엠’의 글로벌 퍼블리싱 계약을 체결했다고 5일 발표했다. 기존 국내 유망 게임을 발굴해 글로벌 퍼블리싱하는 전략의 일환이다.‘로엠’은 아기자기한 도트 그래픽이 특징인 2D 횡스크롤 싱글 RPG다. 싱글 플레이 중심의 간결한 게임성, 귀여운 캐릭터 디자인 등이 특장점이다. 지난 2019년 1월 국내 시장에 출시돼 애플 앱스토어에서 인기를 끌었다.게임빌은 “‘로엠’은 감성을 자극하는 그래픽은 물론 탄탄한 스토리 라인을 바탕으로 글로벌 이용자들에게도 어필할 수 있을 것”이라고 기대했다.게임빌은 이 게임을 상반기 중 글로벌 시장에 선보일 계획이다. 현재 게임빌은 국내 이용자에게 인정 받은 유망 게임을 발굴해 글로벌 흥행 요소를 추가하고 최적화해 선보이는 전략을 추구하고 있다. 최근 글로벌 비공개 테스트를 진행하고 이달 출시를 앞둔 ‘아르카나 택틱스’가 대표적이다.게임빌은 “게임 개발 능력과 성장 잠재력을 갖춘 국내 강소 게임사들과의 협업을 통해 빠르게 변화하는 글로벌 게임시장의 트렌드에 적극적으로 대응할 것”이라고 강조했다",7
8,"
							  [[오늘의 포인트]]애플카 / 사진제공=애플허브 인스타최근 시장의 관심사는 '애플카'와 '전기차'다. 특히 애플카 관련 보도가 연일 나오면서 관련주 주가도 널뛰는 모앙새다.그러나 증권업계 전문가들은 아직 수혜주를 명확히 말하기 어려운 만큼 투자에 신중하라는 조언이다. 가격 등락 폭이 큰 점도 유의할 필요가 있다. 5일 오전 11시 53분 현재 KB오토시스는 전일 대비 2150원(19.37%) 오른 1만3250원에 거래되고 있다. 전날 상한가(29.52%)에 이어 이틀 연속 급등세다. 2거래일 동안 KB오토시스 주가는 50% 넘게 올랐다. 폭스5에 따르면 브라이언 켐프 조지아 주지사는 KB오토시스가 조지아에 공장을 건설하기로 했다고 발표했다. KB오토시스는 공장건설에 3800만달러(약 427억원)를 사용할 예정이다. 이에 따라 약 180개의 일자리가 창출될 것으로 예상된다.KB오토시스는 현대차와 기아, GM 등에 부품을 납품하고 있다. 특히 이번에 건설될 공장은 기아 공장과 30분 거리에 있다. 앞서 미국 조지아주 웨스트포인트의 기아 조립 공장은 애플의 자율주행차 '애플카' 생산 공장이 될 것이란 보도가 나오며 주목을 받은 곳이다. 포스코인터내셔널은 2주 만에 주가가 40% 가까이 올랐다. 전날에는 기관이 130억원을 사들이며 17% 급등했다. 이날은 차익 실현 매물이 나오며 오전 11시 기준 2%대 약세다. 최근 급등세는 신년 사업으로 밝힌 전기차 부품 사업 기대감 덕분이다. 포스코인터내셔널은 지난달 28일 오는 2025년까지 구동모터코아 400만 대 공급과 글로벌 마켓셰어 20% 이상을 달성하겠다는 포부를 밝혔다. 모터코아는 전기차 핵심부품으로 꼽힌다.박종렬 현대차증권 연구원은 ""회사가 최근 올해 성장사업으로 제시한 전동모터 코어 사업이 시장에서 긍정적으로 받아들이면서 실적 발표 이후 주가가 상승하는 상황""이라고 설명했다.기아차 납품업체나 자동차 부품주도 애플카와 전기차 수혜를 톡톡히 봤다. 기아차에 프레스 판넬 등을 납품하는 구영테크는 올해 들어 전날까지 214% 급등했다. 구영테크의 미국 법인은 미국 앨러바마에 공장을 두고 현대차와 기아의 부품을 현지 공급하고 있다. 같은 기간 자동차 부품업체 화신과 동원금속도 각각 90% 넘게 올랐다. 화신은 올해 출시될 현대차의 차세대 전기차 '아이오닉5' 부품 생산을 수주했다. 동원금속도 도어 프레임 등을 현대기아차에 납품하고 있다. 미 증시에서도 '애플카' 수혜 종목이 나타났다. 전기차 스타트업 '카누'는 전날 미 증시에서 14.94% 급등 마감했다. 기아는 지난해 카누와 스케이트보드 설계 기술을 활용한 차세대 전기차 플랫폼 개발을 위한 상호 협력 계약을 맺은 바 있다. 그러나 아직 구체적인 생산 계획이 나오지 않은 상황에서 이들을 수혜주로 단언하기는 어렵다는 조언이다. 한 증권사 자동차업종 애널리스트는 ""기아가 애플카를 생산하더라도 어떤 제품을 쓸 지는 모르는 상황""이라며 ""아직 실적 수혜를 입을 부품사를 확실히 말하기는 어렵다""고 말했다. 그는 ""마찬가지로 공장 증설도 실적에 긍정적이지만, 애플을 염두에 두고 세운다고 말하기는 힘들다""며 ""공장 완공이야 1~2년이면 끝나고, 제조업체가 공장을 지을 때는 일정 수준 가동률을 확보한 상황에서 세우기 때문""이라고 전했다. 관련 종목의 주가 변동성이 큰 점도 주의가 필요하다. 최근 한 달새 급등한 동원금속(-7.88%)과 구영테크(-11.37%) 등은 이날 매물 출회로 급락세를 보인다. 두 종목은 단기과열로 인해 각각 투자주의, 투자경고종목으로 지정됐다",8
9,"
							  5일 오전 아시아 주요 증시가 상승세다.일본 닛케이225지수는 전 거래일 대비 1.37% 오른 2만8730.97에 오전 장을 마쳤다.신규 실업수당 청구 건수 등 주요 경제 지표 호조와 추가 경기부양책에 대한 기대감으로 4일(현지시간) 미국 뉴욕증시가 상승한 영향이다. 간밤 다우지수는 1.08% 올랐고, S&P 500 지수와 나스닥 종합 지수는 각각 1.09%, 1.23% 뛰어 사상 최고치를 경신했다.미국 노동부는 지난주(1월 24일~30일) 신규 실업수당 청구 건수가 77만9000건으로 집계됐다고 밝혔다. 전주 대비 3만3000건 줄어든 수치로 지난해 11월 이후 가장 작었다. 지난해 12월 제조업 수주가 1.1% 늘었다는 상무부의 발표도 있었다.또한 미국 하원은 공화당의 지지 없이도 1조9000억 달러 규모의 경기부양책을 통과시킬 수 있도록 하는 예산결의안을 가결했다. 상원도 조만간 예산결의안 처리를 추진한다.미즈호증권의 구라모치 야스히코 전략가는 블룸버그통신에서 미국 증시에서 금융, 에너지, 서비스 등의 상승률이 높은 데 대해 ""경기 회복 초기 단계에 있는 것을 시사한다""고 분석했다. 중화권 증시도 오름세다. 한국시간 오전 11시30분 중국 상하이종합지수는 0.63% 상승한 3524.07에, 홍콩 항셍지수는 1.07% 뛴 2만9426.15에 각각 거래되고 있다",9
